   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       47    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
        1    0.000    0.000    0.000    0.000 collections.py:38(OrderedDict)
        1    0.000    0.000    0.000    0.000 collections.py:407(Counter)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:1(<module>)
     3708    0.003    0.000    0.007    0.000 compressed.py:1003(__get_sorted)
     4031    0.002    0.000    0.002    0.000 compressed.py:1019(__set_sorted)
     3708    0.003    0.000    0.018    0.000 compressed.py:1035(sort_indices)
   802233    3.246    0.000    5.281    0.000 compressed.py:1044(prune)
     1033    0.004    0.000    0.064    0.000 compressed.py:1064(_with_data)
     4562    0.009    0.000    0.018    0.000 compressed.py:115(_set_self)
   801709   10.208    0.000   24.789    0.000 compressed.py:126(check_format)
        1    0.000    0.000    0.000    0.000 compressed.py:21(_cs_matrix)
801709/798595    5.565    0.000   44.134    0.000 compressed.py:24(__init__)
    24494    0.059    0.000    0.167    0.000 compressed.py:447(_mul_vector)
     1838    0.028    0.000    0.284    0.000 compressed.py:473(_mul_sparse_matrix)
     1312    0.006    0.000    0.020    0.000 compressed.py:512(diagonal)
   373413    2.967    0.000    6.167    0.000 compressed.py:811(_get_single_element)
  3212350    1.514    0.000    1.514    0.000 compressed.py:90(getnnz)
   138768    0.938    0.000    9.102    0.000 compressed.py:915(tocoo)
   138768    0.271    0.000   11.112    0.000 compressed.py:938(toarray)
     2986    0.008    0.000    0.033    0.000 compressed.py:957(__get_has_canonical_format)
     3510    0.004    0.000    0.005    0.000 compressed.py:979(__set_has_canonical_format)
     2986    0.004    0.000    0.054    0.000 compressed.py:987(sum_duplicates)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
     1312    0.007    0.000    0.094    0.000 construct.py:226(eye)
     1722    0.006    0.000    0.802    0.000 construct.py:26(spdiags)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:132(closing)
        5    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
   141754    0.894    0.000    7.876    0.000 coo.py:116(__init__)
   295452    0.449    0.000    0.521    0.000 coo.py:184(getnnz)
        1    0.000    0.000    0.000    0.000 coo.py:21(coo_matrix)
   141754    2.050    0.000    5.041    0.000 coo.py:217(_check)
   138768    0.560    0.000    1.739    0.000 coo.py:248(toarray)
     2576    0.035    0.000    0.273    0.000 coo.py:259(tocsc)
      410    0.006    0.000    0.065    0.000 coo.py:301(tocsr)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
        1    0.000    0.000    0.000    0.000 core.py:1078(_DomainedBinaryOperation)
       40    0.000    0.000    0.001    0.000 core.py:108(get_object_signature)
        6    0.000    0.000    0.000    0.000 core.py:1099(__init__)
        1    0.000    0.000    0.000    0.000 core.py:125(MAError)
        1    0.000    0.000    0.000    0.000 core.py:133(MaskError)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2311(_MaskedPrintOption)
        1    0.000    0.000    0.000    0.000 core.py:2317(__init__)
        9    0.000    0.000    0.000    0.000 core.py:2480(_arraymethod)
        1    0.000    0.000    0.000    0.000 core.py:2528(MaskedIterator)
        1    0.000    0.000    0.000    0.000 core.py:2642(MaskedArray)
        1    0.001    0.001    0.001    0.001 core.py:5889(mvoid)
        1    0.000    0.000    0.000    0.000 core.py:6084(MaskedConstant)
        1    0.000    0.000    0.000    0.000 core.py:6091(__new__)
        1    0.000    0.000    0.000    0.000 core.py:6094(__array_finalize__)
        1    0.000    0.000    0.000    0.000 core.py:6194(_extrema_operation)
        1    0.000    0.000    0.000    0.000 core.py:6251(_minimum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6255(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6265(_maximum_operation)
        1    0.000    0.000    0.000    0.000 core.py:6269(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6318(_frommethod)
       23    0.000    0.000    0.001    0.000 core.py:6329(__init__)
       23    0.000    0.000    0.001    0.000 core.py:6334(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:756(_DomainCheckInterval)
        3    0.000    0.000    0.000    0.000 core.py:765(__init__)
        1    0.000    0.000    0.000    0.000 core.py:7765(_convert2ma)
        8    0.000    0.000    0.000    0.000 core.py:7778(__init__)
        1    0.000    0.000    0.000    0.000 core.py:778(_DomainTan)
        8    0.000    0.000    0.000    0.000 core.py:7783(getdoc)
        1    0.000    0.000    0.000    0.000 core.py:786(__init__)
        1    0.000    0.000    0.000    0.000 core.py:795(_DomainSafeDivide)
        6    0.000    0.000    0.000    0.000 core.py:801(__init__)
        1    0.000    0.000    0.000    0.000 core.py:815(_DomainGreater)
        3    0.000    0.000    0.000    0.000 core.py:821(__init__)
        1    0.000    0.000    0.000    0.000 core.py:830(_DomainGreaterEqual)
        2    0.000    0.000    0.000    0.000 core.py:836(__init__)
